identifier,description,subject[0],subject[1],subject[2],title,creator,date,collection,language,licenseurl,rights,contributor,credits
lewis_e_027,,15th century,Flanders,Flemish,Flores; religious miscellany,,1450,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_028,,13th century,French,France,Bible,,1240,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_029,,13th century,English,England,Bible,,1230,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_030,,Bible,13th century,England,Bible,,1225,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_031,,Bible,Christian,England,Bible,,1230,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_032,,Bible,Christian,13th century,Bible; Notes on a church synod,,1230,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_033,,,,,Bible,,1250,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_034,,Bible,Christian,13th century,Bible,,1250,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_035,,Commentary,13th century,French,"Biblical commentary on the Pentateuch (Exodus, Leviticus, Numbers)",,1220,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_036,,13th century,Italian,Italy,Bible,,1260,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_037,,Bible,13th century,French,Bible,,1260,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_038,,Bible,13th century,Italian,Bible,,1250,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_039,,Bible,13th century,Christian,Bible,,1240,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_040,,Bible,14th century,Italian,Bible,,1300,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_042,,Gospels,12th century,Italian,"Bible, glossed Mark",,1140,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_043,,Commentary,Christian,14th century,Biblical commentary,,1425,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_044,,Bible,15th century,Christian,"Bible, Epistles",,1480,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_045,,Bible,13th century,French,"Bible, with glossa ordinaria",,1250,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_046,,Bible,14th century,France,Biblical commentary on the Old Testament--I Kings - Esther,,1350,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_047,,15th century,German,Germany,Bible Commentary,,1425,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_048,,Commentary,Commentary,Christian,Liber primus distinctionum super decretales,,1420,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_049,,Breviary,15th century,Flanders,Breviary,,1425,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_050,,Book of Hours,15th century,Belgium,"Breviary, Use of Ghent",,1485,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_051,,Breviary,15th century,Christian,Breviary,,1475,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_052,,Breviary,16th century,Italy,Breviary,,1585,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_053,,13th century,Italian,Italy,Biography of Petrarch; Glosse de libris meteororum (Gloss on the Book of Meteors); Glosse de libris meteororum IV (Gloss on the Book of Meteors IV),,1250,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_054,,15th century,Treatise,Italian,De primo bello punico (On the first Punic War),,1444,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_057,,13th century,German,Germany,Carmen in honorem Beatae Mariae Virginis,,1200,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_058,,16th century,Spanish,Spain,"Carta executoria, in favor of Luís and Andrés Ordóñez",,1577,upenn,spa,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_059,,Document,16th century,Spanish,"Carta executoria, in favor of Juan de Londono",,1587,upenn,spa,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_064,,Pontifical,15th century,German,Golden Bull of Charles IV,,1450,upenn,gmh,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_065,,Legal,14th century,15th century,Constitutiones clementinae (Clementine constitutions),,1385,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_066,,Illumination,15th century,Italian,Epistolae ad familiares (Letters to friends),,1468,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_068,,Chronicle,15th century,German,Chronica summorum pontificum et imperatorum romanorum (Chronicle of Popes and Emperors),,1460,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_069,,Document,14th century,German,Chart of Consanguinity; Schwabenspiegel Landrecht (Common Law of the Swabians),,1385,upenn,gmh,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_070,,Saint's Life,15th century,Christian,Letter to Damasus on the death of Saint Jerome,,1450,upenn,ita,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_071,,Miscellany,15th century,Italian,Excerpta orationum Demosthenis et Aeschini (Excerpts of the Orations of Demosthenes and Aeschines); Historia Romana (History of Rome),,1450,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_072,,Genealogy,14th century,French,"Compendium historiae in genealogia christi (Historical compendium of the genealogy of Christ), with a treatise on the candelabrum",,1334,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_073,,Gradual,15th century,Italian,Gradual,,1425,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_076,,Biography,Christian,Germany,Index to moralia in job; Legenda sanctorum (Lives of the saints),,1425,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_077,,Legal,Commentary,14th century,Decretals with Glossa ordinaria of bernardo da parma,,1300,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_078,,12th century,15th century,Christian,Liturgical text; Manipulus curatorum (Handbook for priests),,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_079,,15th century,Treatise,Christian,Expositio super orationem dominicam (Exposition on Sunday oration); Expositio super salutationem angelicam (Exposition on the annunciation),,1415,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_081,,Accounts,15th century,German,Epistola ad Iheronimum (Letter to Jerome); Vitae patrum (Lives of the Fathers),,1423,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_082,,Biography,15th century,German,Vitae patrum (Lives of the Fathers),,1464,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_083,,History,15th century,Italian,Historia belli civilis inter Caesarem et Pompeium,,1440,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_084,,Miscellany,14th century,Christian,Theological miscellany,,1300,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_085,,Book of Hours,15th century,Miniature,"Book of Hours, Use of Besançon?",,1430,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_086,,16th century,French,France,"Book of Hours, use of Bourges",,1495,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_087,,Book of Hours,15th century,France,"Book of Hours, Use of Bourges",,1490,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_088,,Book of Hours,15th century,Netherlands,"Book of Hours, Use of Utrecht",,1410,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_089,,Book of Hours,14th century,15th century,"Book of Hours, Use of Châlons",,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_090,,Book of Hours,15th century,French,"Book of Hours, Use of Coutances",,1450,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_091,,Book of Hours,15th century,Netherlands,"Book of Hours, Use of Utrecht",,1485,upenn,dum,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_092,,15th century,French,France,"Book of Hours, use of Paris",,1440,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_093,,15th century,French,France,"Book of Hours, Use of Paris",,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_094,,15th century,French,France,"Book of Hours, Use of Paris",,1440,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_095,,15th century,French,France,"Book of Hours, use of Paris",,1475,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_096,,Book of Hours,15th century,France,"Book of Hours, Use of Paris",,1475,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_097,,Book of Hours,16th century,French,"Book of Hours, use of Paris",,1500,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_098,,Book of Hours,15th century,Christian,"Book of hours, Use of Paris",,1475,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_099,,15th century,Flemish,Flanders,"Book of Hours, Use of Rome",,1430,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_100,,Book of Hours,15th century,Christian,"Book of Hours, Use of Rome",,1475,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_101,,Book of Hours,15th century,Flanders,"Book of Hours, Use of Rome",,1450,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_102,,16th century,Flemish,Flanders,"Book of Hours, Use of Rome",,1490,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_103,,Book of Hours,15th century,16th century,"Book of Hours, Use of Rome",,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_104,,15th century,Flemish,Netherlands,"Book of Hours, Use of Rome",,1470,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_105,,Book of Hours,15th century,Christian,"Book of Hours, Use of Rome",,1475,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_106,,15th century,Flemish,Netherlands,"Book of Hours, use of Rome",,1460,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_107,,Book of Hours,16th century,Flanders,"Book of Hours, Use of Rome",,1500,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_108,,Book of Hours,15th century,Belgium,"Book of Hours, use of Rome",,1485,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
