"identifier","file","description","subject[0]","subject[1]","subject[2]","title","creator","date","collection","language","licenseurl","rights","contributor","credits"
"lewis_e_049","lewis_e_049.pdf","Free Library of Philadelphia, Lewis E 49. Flanders? Cologne?, Circa 1425. This manuscript is a compact, early-fifteenth-century Breviary from Flanders or Cologne containing texts for the Little Office of the Virgin followed by the Seven Penitential Psalms and Litany (end lacking).","Breviary","15th century","Flanders","Breviary","Free Library of Philadelphia","1425","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_050","lewis_e_050.pdf","Free Library of Philadelphia, Lewis E 50. Ghent?, Belgium, Use of Ghent; late 15th century. A Breviary of the Use of Ghent containing a calendar, tables, ferial psalter, and concluding prayers added in a different, but early, hand. Amendations to the calendar indicate a change of use early in the manuscript's history. The major textual divisions are marked by illuminated letters two-to-five lines high and three- or four-sided panels of acanthus leaf sprays.","Book of Hours","15th century","Belgium","Breviary, Use of Ghent","Free Library of Philadelphia","1485","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_051","lewis_e_051.pdf","Free Library of Philadelphia, Lewis E 51. Naples, Italy, Circa 1475. This manuscript contains a Breviary with readings for the weekday Offices, accompanied by a calendar, prayers to the body of Christ, the Passion according to John, Penitential Psalms, litany, Athanasian Creed, and readings for the Mass of the Virgin.","Breviary","15th century","Christian","Breviary","Free Library of Philadelphia","1475","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_052","lewis_e_052.pdf","Free Library of Philadelphia, Lewis E 52. Milan, Lombardy, Italy, Late 16th century. This manuscript contains a breviary.","Breviary","16th century","Italy","Breviary","Free Library of Philadelphia","1585","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_053","lewis_e_053.pdf","Free Library of Philadelphia, Lewis E 53. Italy, 1250-1280. This mid-thirteenth-century manuscript, produced in Italy, contains a collection of commentaries on works by Aristotle (384 BC-322 BC), most of which are anonymous. However, the commentaries on a pseudo-Aristotelian work on plants, on Aristotle's On Sense and the Sensible, and on the On Generation and Corruption, which are included in the manuscript, have been identified as works by Adam of Buckfield, a professor at Oxford during the thirteenth century. Sewn into the back of the manuscript is a printed bifolium on parchment of 1576 that contains an abbreviated Italian biography of Francis Petrarch (1304-1374). This post-medieval addition to the book is partly responsible for the book being misidentified as having once been part of Petrarch's library. Catalog entries and a note written in the hand of John Frederick Lewis further identify this book as stemming from Petrarch's library, which had been gifted to the Venetian Republic in 1362. In 1635, an unknown person added bookplates to books falsely believed to be from Petrarch's library as evidence of their provenance. It is not clear how this manuscript acquired the bookplate, but it now certain that it was not among Petrarch's library collection. The print that was pasted into the inside of the cover is an engraving by Hans Vredeman de Vries (1527-ca. 1607), a Dutch Renaissance architect and engineer.","13th century","Italian","Italy","Biography of Petrarch; Glosse de libris meteororum (Gloss on the Book of Meteors); Glosse de libris meteororum IV (Gloss on the Book of Meteors IV)","Free Library of Philadelphia","1250","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_054","lewis_e_054.pdf","Free Library of Philadelphia, Lewis E 54. Milan?, Italy, 1444. This manuscript contains a treatise on the first Punic War.","15th century","Treatise","Italian","De primo bello punico (On the first Punic War)","Free Library of Philadelphia","1444","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_057","lewis_e_057.pdf","Free Library of Philadelphia, Lewis E 57. Germany, 13th century. This manuscript contains fragments of a poem in honor of the Blessed Virgin Mary.","13th century","German","Germany","Carmen in honorem Beatae Mariae Virginis","Free Library of Philadelphia","1200","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_058","lewis_e_058.pdf","Free Library of Philadelphia, Lewis E 58. Valladolid, Spain, 1577 June 25. This carta executoria, issued in the name of Philip II of Spain in favor of the brothers Luis and Andrés Ordóñez of Móstoles in response to their litigation to establish noble status, was written in Valladolid and signed on June 25, 1577. It has elaborate illuminations on the first pages that are typical of this type of document, but the text, written in a rounded Gothic script, is mostly undecorated except for occasional illuminated words marking the beginning of sections. The illuminations are protected by blue silk curtains and the document is sewn in a single gathering with a multicolored cord.","16th century","Spanish","Spain","Carta executoria, in favor of Luís and Andrés Ordóñez","Free Library of Philadelphia","1577","upenn","spa","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_064","lewis_e_064.pdf","Free Library of Philadelphia, Lewis E 64. Germany, Circa 1450. This manuscript contains a Golden Bull of Charles IV, Holy Roman Emperor, 1316-1378.","Pontifical","15th century","German","Golden Bull of Charles IV","Free Library of Philadelphia","1450","upenn","gmh","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_065","lewis_e_065.pdf","Free Library of Philadelphia, Lewis E 65. Southern France? Italy?, Late 14th century or early 15th century. This compact volume, dating from the late fourteenth or early fifteenth century, contains the text of Clement V's Consitutiones, with a preface by Pope John XII and extensive commentary glosses by Giovanni d'Andreae. The text is written in several hands, and some of the script exhibits characteristics of Rotunda, suggesting a place of production in Southern France or Italy. The book's binding dates from the early sixteenth century and is blind stamped with geometrical patterns including the crowned ermine and crowned fleur-de-lys, which may indicate a link to the royal library of France under Louis XII and Anne of Brittany.","Legal","14th century","15th century","Constitutiones clementinae (Clementine constitutions)","Free Library of Philadelphia","1385","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_066","lewis_e_066.pdf","Free Library of Philadelphia, Lewis E 66. Ferrara, Italy, 1468 March 12. This manuscript is a complete copy (excluding the first four letters of Book XVI, not due to missing leaves) of Cicero's Epistolae ad Familiares, completed in Ferrara on 12 March 1468 by Gregorius de Martinellis de Buccassolo, as noted in the closing colophon (fol. 174v). The text is divided into sixteen books, with an illuminated initial of gold on colored ground at the beginning of each book. The text is written in humanistic cursive, with alternating red and blue Square Capitals at the beginning of each letter and the letters numbered in the opening initials.","Illumination","15th century","Italian","Epistolae ad familiares (Letters to friends)","Free Library of Philadelphia","1468","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_068","lewis_e_068.pdf","Free Library of Philadelphia, Lewis E 68. Germany, Circa 1460. This manuscript contains a chronicle of popes and emperors.","Chronicle","15th century","German","Chronica summorum pontificum et imperatorum romanorum (Chronicle of Popes and Emperors)","Free Library of Philadelphia","1460","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_069","lewis_e_069.pdf","Free Library of Philadelphia, Lewis E 69. Bavaria?, Germany, Late 14th century. This manuscript is a late fourteenth-century German manuscript containing a Chart of Consanguinity and the Schwabenspiegel Landrecht (Common Law of the Swabians).","Document","14th century","German","Chart of Consanguinity; Schwabenspiegel Landrecht (Common Law of the Swabians)","Free Library of Philadelphia","1385","upenn","gmh","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_070","lewis_e_070.pdf","Free Library of Philadelphia, Lewis E 70. Italy, Third quarter of the fifteenth century; written in pen on the verso of the front flyleaf: al anno 1553; dated 1553 after the end of the text (fol. 108r). This manuscript is a fifteenth-century Italian copy of the Letter to Damascus on the death of Saint Jerome, by Saint Eusebius of Cremona","Saint's Life","15th century","Christian","Letter to Damasus on the death of Saint Jerome","Free Library of Philadelphia","1450","upenn","ita","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_071","lewis_e_071.pdf","Free Library of Philadelphia, Lewis E 71. Italy, Circa 1450. This manuscript is a fifteenth-century Italian manuscript containing a collection of texts.","Miscellany","15th century","Italian","Excerpta orationum Demosthenis et Aeschini (Excerpts of the Orations of Demosthenes and Aeschines); Historia Romana (History of Rome)","Free Library of Philadelphia","1450","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_076","lewis_e_076.pdf","Free Library of Philadelphia, Lewis E 76. Germany, Circa 1425. This manuscript is a fifteenth-century German copy of the index to Pope Gregory I's Moralia in Job and Augustine of Hippo's Legenda sanctorum.","Biography","Christian","Germany","Index to moralia in job; Legenda sanctorum (Lives of the saints)","Free Library of Philadelphia","1425","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_077","lewis_e_077.pdf","Free Library of Philadelphia, Lewis E 77. France, Early 14th century. This manuscript is an early fourteenth-century copy of the Decretales of Pope Gregory IX, compiled by Raymond of Peñafort in the second quarter of the thirteenth century, glossed with the mid-thirteenth-century commentary of Bernardo da Parma, also known as Bernardo Bottoni. Copied in France, it is written in the littera bononiensis typical of these manuscripts. On each page, the Decretales text is written in a larger script in two columns in the center, surrounded by the commentary, also written in two columns, in a smaller glossing script. The Decretales are arranged in five books, with a small illumination and a large illuminated letter marking the beginning of each book division; smaller decorated initials, manicules, and annotations appear throughout the manuscript. The Decretales are followed by an almost-complete copy of Ubi periculum (lacking the ending), a papal bull issued by Gregory X in 1274 (fols. 295r-296v).","Legal","Commentary","14th century","Decretals with Glossa ordinaria of bernardo da parma","Free Library of Philadelphia","1300","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_078","lewis_e_078.pdf","Free Library of Philadelphia, Lewis E 78. Germany?, Early 15th century; 12th century. This manuscript is an early fifteenth-century copy, possibly from Germany, of the Manipulus curatorum (Handbook for Priests).","12th century","15th century","Christian","Liturgical text; Manipulus curatorum (Handbook for priests)","Free Library of Philadelphia","1400","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_079","lewis_e_079.pdf","Free Library of Philadelphia, Lewis E 79. Netherlands, 1415. This manuscript contains Expositio super orationem dominicam (Exposition on Sunday Oration) and Expositio super salutationem angelicam (Exposition on the Annunciation).","15th century","Treatise","Christian","Expositio super orationem dominicam (Exposition on Sunday oration); Expositio super salutationem angelicam (Exposition on the annunciation)","Free Library of Philadelphia","1415","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_081","lewis_e_081.pdf","Free Library of Philadelphia, Lewis E 81. Germany, 1423. This manuscript contains an early fifteenth-century copy of Epistola ad Iheronimum (Letter to Jerome) and Vitae patrum (Lives of the Fathers).","Accounts","15th century","German","Epistola ad Iheronimum (Letter to Jerome); Vitae patrum (Lives of the Fathers)","Free Library of Philadelphia","1423","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_082","lewis_e_082.pdf","Free Library of Philadelphia, Lewis E 82. Germany, 1464. This manuscript contains a copy of Vitae patrum dated 1464.","Biography","15th century","German","Vitae patrum (Lives of the Fathers)","Free Library of Philadelphia","1464","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_083","lewis_e_083.pdf","Free Library of Philadelphia, Lewis E 83. Italy, Circa 1450. This manuscript contains an account of the civil war between Caesar and Pompey compiled from several classical and medieval authors.","History","15th century","Italian","Historia belli civilis inter Caesarem et Pompeium","Free Library of Philadelphia","1440","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_084","lewis_e_084.pdf","Free Library of Philadelphia, Lewis E 84. England, First half of 14th century. This manuscript is a fourteenth-century theological miscellany written in England. This manuscript contains a collection of theological writings, including Book III of Gregory the Great's Moralia in Job, an anonymous treatise entitled Summa de trinitate, Hugh of St. Cher's Speculum ecclesiae (Mirror of the Church), and Innocent III's De miseria conditionis humanae (On the misery of the human condition).","Miscellany","14th century","Christian","Theological miscellany","Free Library of Philadelphia","1300","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_085","lewis_e_085.pdf","Free Library of Philadelphia, Lewis E 85. Besançon?, France, Circa 1430. This Book of Hours, produced around 1430, is likely for the Use of Besançon. The text of the Hours of the Virgin is corrupted and only includes seven hours. Seven miniatures are included for the Hours of the Virgin, preceded by a miniature of Saint John the Baptist in the guise of John the Evangelist, and followed by a miniature of the penitent King David. The calendar, which contains many saints local to Besançon, is a separate textual unit.","Book of Hours","15th century","Miniature","Book of Hours, Use of Besançon?","Free Library of Philadelphia","1430","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_086","lewis_e_086.pdf","Free Library of Philadelphia, Lewis E 86. Bourges?, France, The feast days of the local bishop Saints Guillaume (Jan. 10, fol. 1r), Sulpice (Jan. 17, fol. 1v), and Ursin (Dec. 31, fol. 12v) are written in gold in the calendar, and Saint Symphorien of Auxerre appears in the suffrages (fol. 148r); circa 1500. This richly decorated Book of Hours of the Use of Bourges was produced around the year 1500. The calendar, in French (fols. 1r-12v), includes several saints local to Bourges highlighted in gold, and is accompanied by border vignettes of the zodiacal signs and labors of the month, each enclosed within a golden aedicula. The Book of Hours includes: the Gospel Lessons; the Passion according to John; the Hours of the Virgin of the Use of Bourges followed by the Hours of the Cross and Hours of the Holy Spirit; the Penitential Psalms, Litany, and Prayers; the Office of the Dead; and Suffrages including a prayer to Saint Symphorien of Auxerre (fol. 148r). The Gospel Lessons are introduced with a large miniature of Saint John on Patmos (fol. 13r) with two secondary scenes in vignettes below, and include further small miniatures for Luke, Matthew, and Mark, inset within the subsequent text; the Obsecro te prayer (fols. 19v-23r), introduced with a small inset miniature of the Virgin and Child with Angels, follows the Gospel Lessons directly. The remaining large miniatures at the beginning of each textual section are enclosed within elaborate architectural frames painted in shell gold, which include canopied niches on the outer margins enclosing figures in demi-grisaille, and, apart from the two full-page Annunciation miniatures forming the double-page opening for the Hours of the Virgin (fols. 34v-35r), include lower-level vignettes related to the main scene but separated from it by the text block. The miniature of David and Bathsheba (fol. 96r), which introduces the Penitential Psalms, includes a landscape view of the famous castle of Mehun-sur-Yèvre, made famous by Jean, Duc de Berry. Pages containing the miniature for the Hours of the Holy Spirit and the miniature for the Suffrage to Saint Margaret are missing. The miniatures are by an unidentified artist likely active in Bourges, and associated with Jacquelin de Montluçon, the Master of the Moneypenny Breviary, and the Master of Spencer 6. The verso of the final folio (fol. 153v) contains an elaborate heraldic achievement, likely dating from soon after the production of the manuscript, with arms (azure, a fleur-de-lys or, party per pale azure, an eagle gules) that have been attributed, probably incorrectly, to the Haland de Saint Hermine de Vattier family.","16th century","French","France","Book of Hours, use of Bourges","Free Library of Philadelphia","1495","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_087","lewis_e_087.pdf","Free Library of Philadelphia, Lewis E 87. Bourges, France, Calendar includes feast of Saint William, archbishop of Bourges in blue (fol. 1r, January 10); Dedication of the Cathedral of Bourges in blue (fol. 3r, May 5); rubric on fol. 7v mentions the Use of Bourges; between 1490 and 1510. This manuscript is a compact Book of Hours of the Use of Bourges produced around the turn of the sixteenth century. The Hours of the Virgin are intercalated with the Hours of the Cross. Its miniatures have been excised, but every remaining text page has been decorated with a shaded gold border on the three outer sides, a blue cherub at the outer margin and two red seraphim above and below the text respectively. The lower pastedown contains a signed ownership note by the prominent Bourges patrician and book collector Jean Lallemant the Younger (d. 1548), dated to July 12, 1544. This has been taken erroneously as the date of the book, which is in fact significantly earlier.","Book of Hours","15th century","France","Book of Hours, Use of Bourges","Free Library of Philadelphia","1490","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_088","lewis_e_088.pdf","Free Library of Philadelphia, Lewis E 88. Netherlands, Circa 1410. This manuscript is an early fifteenth-century Book of Hours, written in Latin in the Netherlands.  Many leaves are now missing, probably with illuminations, but several leaves with historiated initials and floral borders remain at major divisions. The text has an unusual two-column layout.","Book of Hours","15th century","Netherlands","Book of Hours, Use of Utrecht","Free Library of Philadelphia","1410","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_089","lewis_e_089.pdf","Free Library of Philadelphia, Lewis E 89. Châlons, France Mons?, Belgium, Use of Châlons, as currently listed for this book, is likely erronenous: the particular combination of Aniphons and Chapters in the Hours of the Virgin is equally valid for Mons, Belgium, and the litany includes two saints, Ghislain (fol. 94v), and Waltrudis, (fol. 95v), closely associated with this diocese; circa 1400. This well-used Book of Hours of circa 1400, previously catalogued as being of the Use of Châlons in the Champagne region, is more likely identifiable as being produced in the diocese of Mons, as its litany includes saints Ghislain (fol. 94v), and Waltrudis, (fol. 95v). The book was owned in the 17th century by the Jesuit College at Louvain, bolstering the Wallonian provenance. The book lacks a calendar but appears to be otherwise intact. There are French prayers added in another hand on folios 144r-160v.","Book of Hours","14th century","15th century","Book of Hours, Use of Châlons","Free Library of Philadelphia","1400","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_090","lewis_e_090.pdf","Free Library of Philadelphia, Lewis E 90. Rouen?, France, Third quarter 15th century. This manuscript is a book of hours, Use of Coutances, probably made in Rouen in the third quarter of the fifteenth century.  It is illuminated with five three-quarter page miniatures and floral borders in the calendar and on pages for major text divisions.","Book of Hours","15th century","French","Book of Hours, Use of Coutances","Free Library of Philadelphia","1450","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_091","lewis_e_091.pdf","Free Library of Philadelphia, Lewis E 91. Netherlands, Late 15th century. This manuscript is a late fifteenth-century Dutch book of hours for the Use of Utrecht with a calendar for the Use of Maastricht. Occasional corrections or additions are written in the lower margin with points of insertion marked in the text, possibly by the scribe. Two miniatures, a Pieta and a penitent David, are by a much later artist.","Book of Hours","15th century","Netherlands","Book of Hours, Use of Utrecht","Free Library of Philadelphia","1485","upenn","dum","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_092","lewis_e_092.pdf","Free Library of Philadelphia, Lewis E 92. France Flanders?, In the border surrounding the miniature of the Crucifixion (fol. 84r) are two unidentified coats-of-arms, possibly of the family for whom the manuscript was originally made; mid-fifteenth century. This mid-fifteenth-century Book of Hours of the Use of Paris contains a calendar with numerous saints venerated in the region of Laon and Soissons. The Gospel Lessons are followed by the Obsecro te, O intemerata, and Salve regina misericordia prayers. The manuscript contains eleven half-page miniatures at the usual textual divisions, though it is lacking the miniature at the beginning of Matins for the Hours of the Virgin. The Hours of the Virgin is followed by the Penitential Psalms, Litany, and prayers, the Hours of the Cross, Hours of the Holy Spirit, and Office of the Dead. There are no suffrages. The border surrounding the Crucifixion (fol. 84r) contains two unidentified coats-of-arms which may indicate the original owner. The miniatures appear to have been retouched by a skillful modern artist, though the coats-of-arms appear to be unaltered, or at least in their original position.","15th century","French","France","Book of Hours, use of Paris","Free Library of Philadelphia","1440","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_093","lewis_e_093.pdf","Free Library of Philadelphia, Lewis E 93. Brittany?, France, Inclusion of Saints Yvo, Brioc and Corentine in the Litany (fol. 121r) may indicate that the manuscript was made for use in Brittany; first half of the 15th century. This Book of Hours of the Use of Paris was perhaps produced in Brittany, as the style of the fourteen large miniatures and contents of the calendar and litany suggest. The miniatures in the Hours of the Virgin for Sext, (Flight into Egypt, fol. 80v), None (Adoration of the Magi, fol. 85v), and Vespers (Presentation in the Temple, fol. 90v) diverge from the traditional iconographic sequence. Several of the foliate borders surrounding the miniatures contain Greek-inspired pseudo script.","15th century","French","France","Book of Hours, Use of Paris","Free Library of Philadelphia","1400","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_094","lewis_e_094.pdf","Free Library of Philadelphia, Lewis E 94. France, Mid-15th century. This mid-fifteenth-century Book of Hours contains a Calendar in French, Gospel Lessons, and the Obsecro te, followed by the Hours of the Virgin of the Use of Paris, with some portions missing and with others misbound, the Hours of the Cross, Penitential Psalms, Litany, and Prayers, and the Office of the Dead. The book concludes with prayers for the Fifteen Joys of the Virgin in French and a fragment of the Seven Requests of Our Lord, also in French. Ten large miniatures survive (those for the Hours of the Cross, and for Prime and None of the Hours of the Virgin are missing), with varying degrees of repainting visible. The miniature introducing the Penitential Psalms, in particular, has been almost entirely repainted.","15th century","French","France","Book of Hours, Use of Paris","Free Library of Philadelphia","1440","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
